idPlanta,Nombre,duracion,umbral,ancho,oscuridad,c1,c2,cMax,c3,c4,sunset
1.0,SDGx01,1m23.5,15.69,146.0,100.00,2019/07/02	19:22:40.3,2019/07/02	20:38:35.7,2019/07/02	20:39:17.6,2019/07/02	20:39:59.1,2019/07/02	21:46:26.3,2019/07/02	21:53
2.0,Solar Llano de Llampos, , , ,93.93,2019/07/02	19:26:12.6, ,2019/07/02	20:42:18.9, ,2019/07/02	21:48:46.1,2019/07/02	21:56
3.0,Solar San Andrés, , , ,94.28,2019/07/02	19:26:13.3, ,2019/07/02	20:42:16.8, ,2019/07/02	21:48:42.6,2019/07/02	21:56 
4.0,Solar Diego de Almagro, , , ,91.29,2019/07/02	19:26:58.7, ,2019/07/02	20:42:54.3, ,2019/07/02	21:49:09.8,2019/07/02	21:57
5.0,Solar Santa Cecilia,1m40.5,23.66,144.4,100.00,2019/07/02	19:23:38.6,2019/07/02	20:39:26.2,2019/07/02	20:40:16.6,2019/07/02	20:41:06.7,2019/07/02	21:47:19.4,2019/07/02	21:55
6.0,Solar Lalackama, , , ,87.60,2019/07/02	19:27:20.5, ,2019/07/02	20:43:22.5, ,2019/07/02	21:49:37.2,2019/07/02	22:01
7.0,Solar Chanares, , , ,91.36,2019/07/02	19:26:52.6, ,2019/07/02	20:42:51.3, ,2019/07/02	21:49:09.1,2019/07/02	21:58
8.0,Solar PV Salvador, , , ,90.86,2019/07/02	19:27:17.8, ,2019/07/02	20:43:05.4, ,2019/07/02	21:49:14.3,2019/07/02	21:57
9.0,Solar Las Terrazas, , , ,95.81,2019/07/02	19:25:34.3, ,2019/07/02	20:41:49.6, ,2019/07/02	21:48:26.4,2019/07/02	21:56
10.0,Solar PSF Pama, , , ,98.21,2019/07/02	19:22:13.9, ,2019/07/02	20:38:37.3, ,2019/07/02	21:45:41.0,2019/07/02	21:51
11.0,Solar PSF Lomas Coloradas, , , , 98.18,2019/07/02	19:22:12.8, ,2019/07/02	20:38:36.4, ,2019/07/02	21:45:40.3,2019/07/02	21:51
12.0,Solar Techos de Altamira, , , ,92.15,2019/07/02	19:21:42.1, ,2019/07/02	20:37:10.8, ,2019/07/02	21:43:45.8,2019/07/02	21:43
13.0,Solar Tambo Real,2m22.2,60.90,145.2,100.00,2019/07/02	19:23:19.3,2019/07/02	20:38:32.7,2019/07/02	20:39:44.0,2019/07/02	20:40:54.9,2019/07/02	21:46:41.6,2019/07/02	21:52
14.0,Solar Javiera, , , ,91.35,2019/07/02	19:26:40.5, ,2019/07/02	20:42:45.9, ,2019/07/02	21:49:08.7,2019/07/02	21:58
15.0,Solar Loma Los Colorados, , , ,98.21,2019/07/02	19:22:13.9, ,2019/07/02	20:38:37.3, ,2019/07/02	21:45:41.0,2019/07/02	21:51
16.0,Solar Luz del Norte, , , ,93.20,2019/07/02	19:26:46.4, ,2019/07/02	20:42:38.5, ,2019/07/02	21:48:54.3,2019/07/02	21:55
18.0,Solar El Pilar, , , ,90.68,2019/07/02	19:27:30.9, ,2019/07/02	20:43:12.3, ,2019/07/02	21:49:16.4,2019/07/02	21:56
19.0,Solar Pampa Solar del Norte, , , ,88.78,2019/07/02	19:27:16.2, ,2019/07/02	20:43:15.0, ,2019/07/02	21:49:29.0,2019/07/02	22:00	
20.0,Solar Luna,2m25.6s,66.89,145.0,100.00,2019/07/02	19:23:28.5,2019/07/02	20:38:36.3,2019/07/02	20:39:49.3,2019/07/02	20:41:01.9,2019/07/02	21:46:43.9,2019/07/02	21:52
21.0,Solar Carrera Pinto, , , ,93.11,2019/07/02	19:26:49.8, ,2019/07/02	20:42:40.6, ,2019/07/02	21:48:55.3,2019/07/02	21:55
22.0,Solar Sol,2m25.6s,66.81,145.0,100.00,2019/07/02	19:23:28.0,2019/07/02	20:38:36.1,2019/07/02	20:39:49.1,2019/07/02	20:41:01.7,2019/07/02	21:46:43.8,2019/07/02	21:52
23.0,Solar Lalackama 2, , , ,87.56,2019/07/02	19:27:20.9, ,2019/07/02	20:43:22.8, ,2019/07/02	21:49:37.3,2019/07/02	22:01
24.0,Solar Esperanza, , , ,89.70,2019/07/02	19:21:03.7, ,2019/07/02	20:36:22.6, ,2019/07/02	21:42:55.1,2019/07/02	21:41
25.0,Solar La Silla,2m03.0s,39.15,144.3,100.00,2019/07/02	19:23:50.1,2019/07/02	20:39:17.3,2019/07/02	20:40:18.9,2019/07/02	20:41:20.2,2019/07/02	21:47:15.5,2019/07/02	21:54
26.0,Solar Quilapilun, , , ,93.11,2019/07/02	19:21:44.3, ,2019/07/02	20:37:24.0, ,2019/07/02	21:44:05.3,2019/07/02	21:44
27.0,Solar La Chapeana, , , ,99.77,2019/07/02	19:22:27.8, ,2019/07/02	20:39:02.7, ,2019/07/02	21:46:11.5,2019/07/02	21:52
28.0,Solar Las Mollacas, , , ,99.31,2019/07/02	19:22:10.7, ,2019/07/02	20:38:48.8, ,2019/07/02	21:46:01.0,2019/07/02	21:53
29.0,Solar Los Loros, , , ,96.28,2019/07/02	19:25:43.5, ,2019/07/02	20:41:50.6, ,2019/07/02	21:48:22.2,2019/07/02	21:55
30.0,Solar Conejo, , , ,89.00,2019/07/02	19:27:01.7, ,2019/07/02	20:43:07.3, ,2019/07/02	21:49:26.8,2019/07/02	22:00
31.0,Solar Lagunilla, , , ,99.78,2019/07/02	19:22:27.5, ,2019/07/02	20:39:02.9, ,2019/07/02	21:46:11.9,2019/07/02	21:52
32.0,Solar Til Til, , , ,93.36,2019/07/02	19:21:33.8, ,2019/07/02	20:37:22.8, ,2019/07/02	21:44:10.4,2019/07/02	21:45
33.0,Solar Cardones, , , ,95.43,2019/07/02	19:25:35.0, ,2019/07/02	20:41:52.3, ,2019/07/02	21:48:30.1,2019/07/02	21:56
34.0,Til Til, , , ,92.89,2019/07/02	19:21:25.1, ,2019/07/02	20:37:13.0, ,2019/07/02	21:44:00.9,2019/07/02	21:45
35.0,Solar Bellavista, , , ,96.59,2019/07/02	19:21:37.3, ,2019/07/02	20:38:02.3, ,2019/07/02	21:45:10.6,2019/07/02	21:50
36.0,Solar Santa Julia, , , ,94.88,2019/07/02	19:21:27.6, ,2019/07/02	20:37:38.2, ,2019/07/02	21:44:39.0,2019/07/02	21:48
37.0,Andes Solar, , , ,81.12,2019/07/02	19:31:19.2, ,2019/07/02	20:45:31.6, ,2019/07/02	21:50:17.7,2019/07/02	21:56
38.0,Pampa Camarones, , , ,66.01,2019/07/02	19:32:41.7, ,2019/07/02	20:46:13.0, ,2019/07/02	21:50:10.8,2019/07/02	22:13
39.0,El Aguila, , , ,64.13,2019/07/02	19:33:34.7, ,2019/07/02	20:46:34.3, ,2019/07/02	21:50:06.8,2019/07/02	22:13
40.0,Maria Elena FV, , , ,76.59,2019/07/02	19:30:55.1, ,2019/07/02	20:45:29.0, ,2019/07/02	21:50:24.9,2019/07/02	22:04
41.0,Finis Terrae, , , ,76.90,2019/07/02	19:30:54.3, ,2019/07/02	20:45:28.3, ,2019/07/02	21:50:24.6,2019/07/02	22:04
42.0,Solar Jama, , , ,76.41,2019/07/02	19:32:16.1, ,2019/07/02	20:46:06.9, ,2019/07/02	21:50:31.1,2019/07/02	22:00
43.0,Pozo Almonte Solar 2, , , ,70.20,2019/07/02	19:32:11.2, ,2019/07/02	20:46:05.3, ,2019/07/02	21:50:24.4,2019/07/02	22:09
44.0,Pozo Almonte Solar 3, , , ,70.11,2019/07/02	19:32:13.5, ,2019/07/02	20:46:06.3, ,2019/07/02	21:50:24.4,2019/07/02	22:09
45.0,La Huayca II, , , ,70.45,2019/07/02	19:32:28.1, ,2019/07/02	20:46:13.4, ,2019/07/02	21:50:26.5,2019/07/02	22:08
46.0,Solar Las Araucarias, , , ,92.31,2019/07/02	19:21:30.1, ,2019/07/02	20:37:07.6, ,2019/07/02	21:43:49.0,2019/07/02	21:44
48.0,Solar Chuchini, , , ,96.55,2019/07/02	19:21:48.8, ,2019/07/02	20:38:06.8, ,2019/07/02	21:45:10.0,2019/07/02	21:49
49.0,El Divisadero, , , ,98.99,2019/07/02	19:22:14.9, ,2019/07/02	20:38:46.9, ,2019/07/02	21:45:55.3,2019/07/02	21:52
50.0,El Romero,1m40.1,23.44,144.4,100.00,2019/07/02	19:23:38.1,2019/07/02	20:39:26.3,2019/07/02	20:40:16.5,2019/07/02	20:41:06.4,2019/07/02	21:47:19.5,2019/07/02	21:55
51.0,Dona Carmen Solar, , , ,94.15,2019/07/02	19:21:06.8, ,2019/07/02	20:37:20.3, ,2019/07/02	21:44:24.8,2019/07/02	21:48
52.0,El Pelicano,1m42.6,24.90,144.4,100.00,2019/07/02	19:23:41.6,2019/07/02	20:39:26.2,2019/07/02	20:40:17.7,2019/07/02	20:41:08.9,2019/07/02	21:47:19.1,2019/07/02	21:55
53.0,Solar Cordillerilla,1m36.3,22.98,143.9,100.00,2019/07/02	19:24:49.8,2019/07/02	20:39:26.7,2019/07/02	20:40:15.0,2019/07/02	20:41:03.0,2019/07/02	21:46:30.3,2019/07/02	21:45
54.0,Solar Alturas de Ovalle, , , ,99.57,2019/07/02	19:22:13.1, ,2019/07/02	20:38:53.3, ,2019/07/02	21:46:06.5,2019/07/02	21:53
55.0,Hormiga Solar, , , ,94.16,2019/07/02	19:21:50.9, ,2019/07/02	20:37:39.7, ,2019/07/02	21:44:25.8,2019/07/02	21:46
56.0,Solar San Pedro, , , ,89.66,2019/07/02	19:20:02.2, ,2019/07/02	20:35:55.8, ,2019/07/02	21:42:54.4,2019/07/02	21:45
58.0,Solar El Boco, , , ,93.05,2019/07/02	19:20:56.0, ,2019/07/02	20:37:02.3, ,2019/07/02	21:44:03.7,2019/07/02	21:47
59.0,Solar Las Cabras, , , ,89.22,2019/07/02	19:20:03.1, ,2019/07/02	20:35:50.3, ,2019/07/02	21:42:45.0,2019/07/02	21:45
60.0,San Pedro, , , ,89.36,2019/07/02	19:20:03.5, ,2019/07/02	20:35:52.3, ,2019/07/02	21:42:47.9,2019/07/02	21:45
61.0,El Monte, , , ,90.89,2019/07/02	19:20:49.5, ,2019/07/02	20:36:32.2, ,2019/07/02	21:43:20.2,2019/07/02	21:45
62.0,Melipilla, , , ,90.82,2019/07/02	19:20:37.1, ,2019/07/02	20:36:26.0, ,2019/07/02	21:43:18.8,2019/07/02	21:45
65.0,Uribe Solar, , , ,82.20,2019/07/02	19:28:37.9, ,2019/07/02	20:44:15.2, ,2019/07/02	21:50:04.5,2019/07/02	22:04
66.0,FV Bolero, , , ,80.65,2019/07/02	19:30:12.3, ,2019/07/02	20:45:02.7, ,2019/07/02	21:50:15.7,2019/07/02	22:01
77.0,Cerro Dominador, , , ,78.32,2019/07/02	19:30:37.4, ,2019/07/02	20:45:18.7, ,2019/07/02	21:50:22.1,2019/07/02	22:03
