NombreComuna,centralNombre,Potencia,UTM_este,UTM_oeste,NOM_REG,NOM_PROV,COD_COM,NOM_COM,COD_REGI,SUPERFICIE,POBLAC02,POBL2010,SHAPE_Leng,SHAPE_Area
Andacollo,Solar SDGx01,1.28000,298624.00000,6654191.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Copiap�,Solar Llano de Llampos,101.02000,383921.00000,7000014.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Copiap�,Solar San Andres,49.70000,389995.00000,6984918.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Diego de Almagro,Solar Diego de Almagro,32.00000,398306.00000,7081876.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Vallenar,Solar Santa Cecilia,2.96000,313828.00000,6777519.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Taltal,Solar Lalackama,55.00000,367831.00000,7221038.00000,Región de Antofagasta,Tocopilla,"02301",Tocopilla,2.00000000000,126049.10000000001,"493984","575268",2139314.89642000012,126020013754.00000000000
Diego de Almagro,Solar Chanares,36.00000,393688.00000,7082373.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Diego de Almagro,Solar PV Salvador,68.00000,413357.00000,7089238.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Tierra Amarilla,Solar Las Terrazas,3.00000,367694.00000,6943243.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Combarbal�,Solar PSF Pama,2.00000,307273.00000,6547980.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Combarbal�,Solar PSF Lomas Coloradas,2.00000,306502.00000,6547012.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Pe�alol�n,Solar Techos de Altamira,0.15000,357141.09000,6294500.59000,Región Metropolitana de Santiago,Cordillera,"13201",Puente Alto,13.00000000000,15403.20000000000,"6061185","6883563",885340.57501799997,15389287748.60000038147
Vicu�a,Solar Tambo Real,2.94000,329345.50000,6674521.09000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Cha�aral,Solar Javiera,65.00000,378889.00000,7090428.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
Tiltil,Solar Loma Los Colorados,1.07400,307273.00000,6547980.00000,Región de Coquimbo,Limarí,"04305",Río Hurtado,4.00000000000,40579.90000000000,"603210","718717",1605926.62647000002,40633678072.50000000000
Copiap�,Solar Luz del Norte,141.04000,410808.00000,7011661.00000,Región de Atacama,Copiapó,"03102",Caldera,3.00000000000,75176.20000000000,"254336","280543",2006821.92164999992,75652031289.89999389648
